Timestamp,Export - Market price ($/MWh),Import - Market price ($/MWh),Trafo 0-1,Trafo 0-12,Line 3-8,Line 3-4,Line 9-10,Line 7-8,Line 13-14,Battery 1,Battery 2
 01/01/2020 01:00:00,96.52,116.52,3.9065136826746305,3.4361110340378787,0.118236483103954,0.3724912129161164,0.1707260250487356,0.23724999991353168,0.0902378295394497,0.09999999999999999,0.03333333333333333
 01/01/2020 02:00:00,78.21,98.21,3.798847172033282,3.4361110340378787,0.10815175133523003,0.2819506210073552,0.16070120430143703,0.23724999996136667,0.0902378295394497,0.01,0.02333333333333333
 01/01/2020 03:00:00,76.57,96.57,3.8095798589061425,3.4361110340378787,0.05791205756654355,0.34228147548499854,0.11061320564758155,0.2372499999584141,0.0902378295394497,0.06999999999999999,-0.026666666666666672
 01/01/2020 04:00:00,82.85,102.85,3.6577430185376856,3.4361110336581713,0.0645786299162227,0.191582854914475,0.11728749511111151,0.23724999982754616,0.09023782952855809,-0.08,-0.02
 01/01/2020 05:00:00,60.69,80.69,3.8776594741100854,3.436111034037879,0.09140907255237662,0.3724857684909944,0.14400325440088643,0.23724999993072723,0.09023782953945016,0.09999999999999999,0.006666666666666668
 01/01/2020 06:00:00,76.95,96.95,3.7704142648374934,3.436111034037879,0.06125141596603229,0.3020489753039483,0.1139508350752567,0.23724999996877336,0.09023782953945016,0.03,-0.02333333333333333
 01/01/2020 07:00:00,74.74,94.74,3.710381899776626,3.4361110340378787,0.10478116399082442,0.201617388168258,0.1573587729392209,0.23724999997928578,0.0902378295394497,-0.06999999999999999,0.02
 01/01/2020 08:00:00,72.13,92.13,3.8238440506346936,3.436111034037879,0.07130258659198899,0.3422836809732464,0.12396711392288996,0.23724999995380247,0.09023782953945016,0.06999999999999999,-0.013333333333333336
 01/01/2020 09:00:00,70.09,90.09,3.834550899260107,3.436111034037879,0.11151248649942225,0.3121109296430564,0.1640425668190018,0.2372499999497575,0.09023782953945016,0.04,0.026666666666666672
 01/01/2020 10:00:00,65.0,85.0,3.8381331820213322,3.4361110340378787,0.11486689597716183,0.3121114011439562,0.16738323006690944,0.2372499999483646,0.0902378295394497,0.04,0.030000000000000002
 01/01/2020 11:00:00,107.71,127.71,3.742098822078098,3.436111034037879,0.10478752306509038,0.23172655595307803,0.1573595514067682,0.2372499999742332,0.09023782953945016,-0.04,0.02
 01/01/2020 12:00:00,47.33,67.33,3.8381323738176483,3.4361110340378787,0.09475194933079538,0.33222573692378715,0.147342054060668,0.23724999994855367,0.0902378295394497,0.06,0.01
